,MW,EACN,Vm,density,TAN,active,PCA_1,PCA_2,PCA_3
Oil_19 + 20% Oil_L,204.18132100587897,7.34754274046663,236.32380782089803,0.8639896373056999,0.136,0,114.35113410142122,9.958468546861152,265.6863713316942
Oil_19 + 31.3% Oil_F,268.523135311491,13.7362121041732,323.037425582465,0.831244660977968,0.11679,0,223.1789096214007,13.53223497303701,408.50477338078565
Oil_19 + 6.82% Oil_L,255.333366817254,10.245489624125499,295.864635833928,0.863007388826879,0.158406,0,194.57777243604932,10.357927721729308,332.30658723924876
Oil_20,283.8706911323282,12.47761594130315,321.93949562155035,0.8618333120206225,0.0,0,236.08931319227906,10.753560980999552,381.1986791239111
Oil_21,273.116481646203,15.0,315.645145908857,0.865264317180617,0.1,0,254.64323354424786,11.766156252901029,404.65553327209784
Oil_21 + 12% Oil_L,221.02210072015203,10.9700767396369,255.271973224825,0.865829875203308,0.08800000000000001,0,163.65280604368377,10.964659059227191,322.75333384237325
Oil_21 + 12.8% Oil_C,244.354706994045,13.9008503480729,289.102652300008,0.845217797381093,0.0872,0,204.12933847533102,13.079945837110763,388.0409682805026
Oil_21 + 12.8% Oil_G,213.76472420122897,12.1425277061985,257.21541282941297,0.831072764457545,0.0872,0,148.51983440624994,13.8024940115049,356.96465974715545
Oil_21 + 12.8% Oil_J,263.47787566088,15.0,309.499161337477,0.85130400522664,0.0872,0,237.3228424144483,12.80932410990918,409.1741833611175
Oil_21 + 20% Oil_A,188.480842657784,10.0729817746302,222.71072431086498,0.846303397562025,0.08,0,110.53141938319857,12.405153164107528,305.6020401420108
Oil_21 + 20% Oil_B,228.52923544356898,12.0245741497402,262.302944113641,0.871241595155562,0.08,0,183.40233637985077,10.905378871828425,337.38885375923877
Oil_21 + 20% Oil_F,262.302696961116,15.2316752313735,310.64855433774,0.844371214024509,0.08,0,234.5991841855162,13.359355371369904,416.5164636593283
Oil_21 + 20% Oil_G,190.480645668218,11.021522833571698,234.293050421763,0.8130016888052108,0.08,0,103.79300143607949,14.91131698628745,340.9461785459928
Oil_21 + 20% Oil_I,213.67490860248,12.381205707402,258.347492649159,0.827083345812284,0.08,0,148.31525385300952,14.150095476382027,362.9252463202076
Oil_21 + 40% Oil_A,143.890760208743,7.4771940955505,173.748448242086,0.8281556564364709,0.06,0,29.030466996909183,13.279038487319331,258.3216333270433
Oil_21 + 40% Oil_B,196.456935397816,9.8843040330406,223.93306826837798,0.8773020300975269,0.06,0,133.1489222512607,10.162531743823875,288.2045133339626
Oil_21 + 40% Oil_F,252.312621144594,15.445703269995802,306.03256372267896,0.8244633122546879,0.06,0,215.6448190342747,14.870293958356251,427.86638835505113
Oil_21 + 40% Oil_G,146.234897678327,8.89132476628015,190.734656260537,0.7666928524964809,0.06,0,10.829561532177877,17.814179751365216,317.4468042199147
Oil_21 + 40% Oil_I,175.48256140719897,10.6985803034215,221.53265490656398,0.7921295462342229,0.06,0,73.01132678812667,16.373092676032478,342.21151423049105
Oil_21 + 40% Oil_L,152.949990711554,5.704146429512679,176.38190524706403,0.8671523901349839,0.06,0,44.79344622361907,9.865808755344863,215.82242571464735
