Na,Cl,Ca,Mg,S(6),pH,m_Ca+2,m_CaSO4,m_CaOH+,m_CaHSO4+,m_Cl-,m_Na+,m_NaSO4-,m_NaOH,m_SO4-2,m_Mg+2,m_MgSO4,m_MgOH+,m_HSO4-,la_H+
0.2281,0.24969,0.0096914,0.035019,0.033915,-6.189968716,0.0080272,0.0016642,1.25E-09,6.55E-09,0.24969,0.22297,0.0051351,3.71E-19,0.01903,0.026933,0.0080851,1.00E-07,2.43E-07,-6.3936
0.71065,0.96147,0.13925,0.24017,0.254,-5.338324979,0.10274,0.03651,2.96E-09,6.22E-07,0.96147,0.66687,0.043785,2.17E-19,0.083974,0.15043,0.089733,1.60E-07,1.92E-06,-5.7876
0.16478,0.11219,0.013679,0.019582,0.059555,-6.365641579,0.0090136,0.0046656,2.87E-09,9.32E-09,0.11219,0.15666,0.008115,5.18E-19,0.038466,0.011274,0.0083082,8.33E-08,2.86E-07,-6.6751
0.92467,0.85387,0.13935,0.13982,0.31457,-5.053967774,0.091575,0.047772,1.75E-09,1.23E-06,0.85387,0.84417,0.0805,1.82E-19,0.12119,0.074718,0.065105,5.18E-08,4.31E-06,-5.6072
0.52042,1.3124,0.2825,0.29737,0.18388,-5.679904338,0.23878,0.043719,1.02E-08,4.80E-07,1.3124,0.5019,0.018521,2.38E-19,0.049325,0.22506,0.072312,4.21E-07,5.85E-07,-5.9713
0.41882,0.56177,0.012496,0.21932,0.16035,-8.284135629,0.009324,0.003172,4.56E-09,3.48E-09,0.56177,0.39779,0.021037,2.20E-18,0.059803,0.14299,0.076337,2.05E-06,1.26E-07,-6.9778
0.61772,1.3657,0.38082,0.27547,0.2823,-7.676487241,0.29897,0.081849,4.37E-08,2.56E-07,1.3657,0.58451,0.03321,9.44E-19,0.076818,0.18505,0.090423,1.27E-06,2.39E-07,-6.5132
0.33438,0.98763,0.30951,0.021387,0.0042742,-5.104804105,0.30739,0.0021178,2.65E-09,1.25E-07,0.98763,0.33397,0.00040598,3.26E-20,0.0015106,0.021147,0.00023961,6.24E-09,1.32E-07,-5.2509
0.99618,0.98703,0.23881,0.085581,0.32897,-8.580117708,0.15931,0.079502,2.68E-07,2.28E-08,0.98703,0.90971,0.086475,1.72E-17,0.12367,0.046258,0.03932,3.04E-06,4.42E-08,-7.5603
0.23588,0.18703,0.018962,0.031843,0.07523,-5.15253578,0.012915,0.0060463,3.10E-10,1.53E-07,0.18703,0.22404,0.011848,5.77E-20,0.044444,0.018955,0.012888,1.09E-08,3.57E-06,-5.5862
0.19129,0.85822,0.17466,0.19803,0.039226,-7.381266293,0.16546,0.0091952,2.11E-08,3.71E-08,0.85822,0.18947,0.0018189,2.73E-19,0.01176,0.18158,0.016451,7.68E-07,7.40E-08,-6.415
0.52609,1.0428,0.23337,0.20094,0.17595,-8.500603141,0.18996,0.04341,1.07E-07,3.76E-08,1.0428,0.50453,0.021561,3.22E-18,0.055041,0.145,0.055937,3.10E-06,6.21E-08,-7.0812
0.99637,0.80056,0.23541,0.14403,0.47735,-6.585749448,0.13685,0.09856,3.19E-08,2.03E-07,0.80056,0.87597,0.1204,2.30E-18,0.17901,0.064648,0.07938,5.92E-07,4.59E-07,-6.7021
0.60896,0.87434,0.10642,0.21728,0.19101,-6.35214959,0.082097,0.024323,9.71E-09,1.04E-07,0.87434,0.57865,0.030305,7.75E-19,0.065159,0.14606,0.071223,5.94E-07,4.12E-07,-6.3906
0.1613,0.21841,0.020443,0.057256,0.049141,-5.58136467,0.016188,0.0042552,7.93E-10,5.31E-08,0.21841,0.15669,0.0046083,8.21E-20,0.024477,0.041457,0.015799,4.86E-08,9.81E-07,-5.8928
0.44245,1.4817,0.48271,0.064371,0.027448,-7.262545297,0.46906,0.013646,7.47E-08,3.96E-08,1.4817,0.43983,0.0026224,7.77E-19,0.0080239,0.061216,0.0031553,4.46E-07,2.40E-08,-6.5473
0.094445,0.35187,0.077927,0.064307,0.013521,-7.811877917,0.074506,0.0034211,3.34E-08,4.47E-09,0.35187,0.0939,0.00054504,4.63E-19,0.0054498,0.060201,0.0041053,6.79E-07,1.92E-08,-6.8867
0.38202,0.67996,0.127,0.1281,0.10613,-8.138536289,0.10491,0.022093,5.08E-08,2.41E-08,0.67996,0.3695,0.012525,2.03E-18,0.039412,0.095997,0.032099,1.41E-06,7.74E-08,-6.9814
0.16784,0.39433,0.087729,0.077374,0.051856,-7.664789335,0.075667,0.012061,2.83E-08,1.85E-08,0.39433,0.16432,0.0035186,6.83E-19,0.021297,0.062394,0.014979,6.07E-07,8.02E-08,-6.8235
0.28459,0.4617,0.10235,0.076869,0.090668,-9.725870175,0.081622,0.020727,2.33E-06,4.04E-10,0.4617,0.27459,0.0099983,8.81E-17,0.038428,0.055311,0.021515,4.31E-05,1.66E-09,-8.7241
0.29663,0.66549,0.19622,0.072574,0.084364,-7.811243953,0.16735,0.028876,6.91E-08,3.72E-08,0.66549,0.28866,0.0079678,1.35E-18,0.031938,0.056993,0.015581,7.10E-07,7.48E-08,-6.9097
0.059772,0.14481,0.04224,0.0064919,0.0062132,-8.860157412,0.040109,0.0021294,7.79E-07,7.19E-11,0.14481,0.05948,0.00029127,1.17E-17,0.0033412,0.006038,0.00045123,2.68E-06,4.65E-10,-8.4368
0.4336,1.0236,0.26023,0.10465,0.069867,-7.03115356,0.23636,0.02388,3.74E-08,7.52E-08,1.0236,0.4258,0.0077941,7.62E-19,0.023135,0.089589,0.015058,5.07E-07,1.02E-07,-6.5214
0.13312,0.15507,0.03121,0.0040282,0.024261,-5.415724142,0.025652,0.0055582,8.52E-10,1.08E-07,0.15507,0.13038,0.0027323,4.45E-20,0.015023,0.0030821,0.00094612,2.36E-09,1.13E-06,-5.6838
0.26518,0.31962,0.014863,0.023876,0.011521,-9.032382364,0.013934,0.00092855,1.94E-07,4.04E-11,0.31962,0.26318,0.0020047,3.94E-17,0.0064779,0.021758,0.0021102,7.30E-06,8.78E-10,-8.3533
0.29659,0.36387,0.06889,0.059632,0.094882,-7.984657277,0.051617,0.017273,4.30E-08,1.19E-08,0.36387,0.28381,0.012778,2.63E-18,0.044842,0.039643,0.019988,8.60E-07,7.54E-08,-7.1724
0.31839,0.46502,0.024333,0.13522,0.086236,-7.808918121,0.01966,0.0046731,6.52E-09,7.88E-09,0.46502,0.30802,0.010375,1.15E-18,0.03518,0.099208,0.036007,8.89E-07,1.34E-07,-6.786
0.62112,0.6516,0.13479,0.04906,0.16861,-8.895407268,0.096827,0.037958,5.67E-07,3.41E-09,0.6516,0.58393,0.037193,3.88E-17,0.0746,0.030197,0.018858,5.44E-06,1.18E-08,-8.067
0.89746,0.60348,0.10957,0.10745,0.36401,-6.258067138,0.063365,0.046201,1.36E-08,1.09E-07,0.60348,0.79589,0.10157,1.93E-18,0.15773,0.04895,0.0585,3.55E-07,5.65E-07,-6.647
0.23963,0.58676,0.039925,0.17597,0.042323,-8.192624388,0.03667,0.0032545,1.40E-08,4.67E-09,0.58676,0.23648,0.0031487,1.02E-18,0.014617,0.15466,0.021303,1.67E-06,4.29E-08,-6.86
0.20048,0.60575,0.083918,0.15229,0.033576,-6.52753458,0.078559,0.005359,8.89E-09,2.58E-08,0.60575,0.19842,0.0020588,2.54E-19,0.011523,0.13766,0.014635,4.46E-07,1.11E-07,-6.3353
